epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.67535,4.01374,4.10435,4.33396,0.00083,0.01408,0.00042,4e-05,3.98983,3.65058,4.15885,0.0001,0.0001,0.0001
2,14.6251,4.09791,4.09479,4.27958,0.00083,0.01408,0.00042,4e-05,3.99004,3.64679,4.15897,0.000218911,0.000218911,0.000218911
3,20.886,4.0576,4.00893,4.29471,0.00083,0.01408,0.00042,4e-05,3.99101,3.6468,4.15833,0.000336634,0.000336634,0.000336634
4,27.1107,3.99751,4.01345,4.19304,0.00083,0.01408,0.00042,4e-05,3.99186,3.64764,4.15823,0.000453169,0.000453169,0.000453169
5,33.4452,3.87966,4.02382,4.16119,0.00083,0.01408,0.00042,4e-05,3.99607,3.6518,4.15832,0.000568516,0.000568516,0.000568516
6,39.0893,3.9512,3.84127,4.13671,0.00167,0.02817,0.00146,0.00015,4.00514,3.65328,4.16033,0.000682675,0.000682675,0.000682675
7,45.3849,3.71611,3.95191,4.1393,0.00083,0.01408,0.00042,4e-05,4.00836,3.66284,4.1623,0.000795646,0.000795646,0.000795646
8,51.1201,3.63043,3.75093,4.05541,0.0025,0.04225,0.00206,0.00044,4.01616,3.66974,4.16233,0.000907429,0.000907429,0.000907429
9,56.9669,3.47767,3.45681,4.00376,0.0025,0.04225,0.00334,0.00068,4.0239,3.6769,4.16353,0.00101802,0.00101802,0.00101802
10,63.3053,3.4879,3.83443,3.98401,0.00333,0.05634,0.00224,0.00049,4.02962,3.70092,4.16976,0.00112743,0.00112743,0.00112743
11,69.5846,3.28355,3.45381,3.86152,0.0025,0.04225,0.00156,0.00037,4.04375,3.71481,4.17796,0.00123565,0.00123565,0.00123565
12,75.9954,3.23292,3.39701,3.82517,0.00333,0.05634,0.00313,0.00061,4.06406,3.74579,4.1948,0.00134268,0.00134268,0.00134268
13,82.2966,2.94866,3.30451,3.76039,0.00333,0.05634,0.00285,0.00063,4.06817,3.79672,4.21786,0.00144852,0.00144852,0.00144852
14,88.789,2.93521,3.28664,3.69859,0.00417,0.07042,0.00568,0.00096,4.09096,3.80525,4.24413,0.00155318,0.00155318,0.00155318
15,94.2285,2.92445,3.23996,3.58985,0.00417,0.07042,0.00568,0.00096,4.09096,3.80525,4.24413,0.00165665,0.00165665,0.00165665
16,99.8459,2.78421,3.06986,3.51711,0.00417,0.07042,0.00592,0.00113,4.09642,3.89028,4.23008,0.00175893,0.00175893,0.00175893
17,106.054,2.76963,2.98769,3.34942,0.00333,0.05634,0.00652,0.00147,4.09177,3.91608,4.21138,0.0018416,0.0018416,0.0018416
18,112.189,2.78564,3.01023,3.32949,0.005,0.08451,0.02485,0.00688,4.01906,3.85855,4.19386,0.0018317,0.0018317,0.0018317
19,118.375,2.6936,2.96794,3.25633,0.005,0.08451,0.02485,0.00688,4.01906,3.85855,4.19386,0.0018218,0.0018218,0.0018218
20,123.97,2.67482,2.81557,3.17667,0.005,0.08451,0.01142,0.00351,3.92165,3.71455,4.10295,0.0018119,0.0018119,0.0018119
21,130.17,2.46733,2.70721,3.1347,0.51081,0.02817,0.0382,0.01349,3.63941,3.42768,3.95784,0.001802,0.001802,0.001802
22,136.036,2.69902,3.0339,3.14172,0.24623,0.08451,0.11489,0.03657,2.93492,3.15101,3.57301,0.0017921,0.0017921,0.0017921
23,142.254,2.45247,2.76788,3.09228,0.24623,0.08451,0.11489,0.03657,2.93492,3.15101,3.57301,0.0017822,0.0017822,0.0017822
24,148.826,2.44416,2.50997,2.95978,0.52311,0.22535,0.24695,0.06166,2.55431,2.97325,3.47764,0.0017723,0.0017723,0.0017723
25,155.178,2.49131,2.57956,2.96786,0.29778,0.32394,0.16774,0.04265,2.40759,2.98501,3.43846,0.0017624,0.0017624,0.0017624
26,161.714,2.4496,2.60225,2.99727,0.30012,0.29577,0.18639,0.0553,2.28907,2.89281,3.39246,0.0017525,0.0017525,0.0017525
27,167.062,2.2601,2.77214,2.90819,0.30012,0.29577,0.18639,0.0553,2.28907,2.89281,3.39246,0.0017426,0.0017426,0.0017426
28,173.124,2.38403,2.56451,2.88784,0.32123,0.38028,0.2397,0.10564,2.02928,2.65165,3.14137,0.0017327,0.0017327,0.0017327
29,179.293,2.30241,2.74502,2.89088,0.33512,0.35211,0.23708,0.12041,1.93125,2.563,2.95809,0.0017228,0.0017228,0.0017228
30,185.732,2.26567,2.57662,2.85781,0.34472,0.38028,0.24681,0.11285,1.91075,2.54088,2.85214,0.0017129,0.0017129,0.0017129
